adult_occupant_protection,child_occupant_protection,vulnerable_road_user_protection,safety_assist,name,num_stars,rating_year,url
85%,88%,87%,83%,Toyota Corolla Cross,5,Jul 2022 - onwards,https://www.ancap.com.au/safety-ratings/toyota/corolla-cross/530bf9
89%,88%,81%,77%,Toyota Landcruiser,5,Jul 2021 - onwards,https://www.ancap.com.au/safety-ratings/toyota/landcruiser/c95f28
90%,88%,76%,82%,Toyota Kluger / Highlander,5,Mar 2021 - onwards,https://www.ancap.com.au/safety-ratings/toyota/kluger-highlander/a0e7f4
88%,87%,80%,83%,Toyota Mirai,5,Nov 2020 - onwards,https://www.ancap.com.au/safety-ratings/toyota/mirai/dbd98e
86%,86%,78%,82%,Toyota Yaris Cross,5,Aug 2020 - onwards,https://www.ancap.com.au/safety-ratings/toyota/yaris-cross/154c9a
86%,87%,78%,87%,Toyota Yaris,5,May 2020 - onwards,https://www.ancap.com.au/safety-ratings/toyota/yaris/8dbe27
95%,84%,88%,78%,Toyota Fortuner,5,Oct 2019 - onwards,https://www.ancap.com.au/safety-ratings/toyota/fortuner/aebf3a
94%,88%,84%,79%,Toyota Granvia,5,Oct 2019 - onwards,https://www.ancap.com.au/safety-ratings/toyota/granvia/34aee4
94%,88%,84%,77%,Toyota Hiace,5,May 2019 - onwards,https://www.ancap.com.au/safety-ratings/toyota/hiace/852c74
96%,87%,88%,78%,Toyota Hilux,5,Jul 2019 - onwards,https://www.ancap.com.au/safety-ratings/toyota/hilux/cad396
93%,89%,85%,83%,Toyota RAV4,5,May 2019 - onwards,https://www.ancap.com.au/safety-ratings/toyota/rav4/c922ba
96%,83%,86%,76%,Toyota Corolla,5,Aug 2018 - onwards,https://www.ancap.com.au/safety-ratings/toyota/corolla/41c68b
,,,,Toyota Camry,5,Feb 2021 - onwards,https://www.ancap.com.au/safety-ratings/toyota/camry/78c21f
87%,77%,65%,68%,Toyota C-HR,5,Dec 2016 - onwards,https://www.ancap.com.au/safety-ratings/toyota/c-hr/e970cc
,,,,Toyota Landcruiser Cab Chassis,5,Sep 2016 - onwards,https://www.ancap.com.au/safety-ratings/toyota/landcruiser-cab-chassis/604bff
,,,,Toyota Prius,5,Nov 2015 - onwards,https://www.ancap.com.au/safety-ratings/toyota/prius/183b24
,,,,Toyota Prado,0,Jan 2023 - onwards,https://www.ancap.com.au/safety-ratings/toyota/prado/610816
93%,85%,78%,81%,Toyota Avensis,5,Nov 2016 - Jan 2022,https://www.ancap.com.au/safety-ratings/toyota/avensis/04b697
,,,,Toyota Hilux Rugged & Rugged X,5,Apr 2018 - Jul 2022,https://www.ancap.com.au/safety-ratings/toyota/hilux-rugged-rugged-x/e2d0fa
,,,,Toyota Prius V,5,2012 - Mar 2022,https://www.ancap.com.au/safety-ratings/toyota/prius-v/b18b90
,,,,Toyota Aurion,5,Apr 2015 - 2017,https://www.ancap.com.au/safety-ratings/toyota/aurion/adfe83
,,,,Toyota Prius C,5,2012 - Jul 2020,https://www.ancap.com.au/safety-ratings/toyota/prius-c/e5df2a
,,,,Toyota 86,5,2012 - Jan 2022,https://www.ancap.com.au/safety-ratings/toyota/86/f4ac7a
